Game,Category,Description,CPU,GPU,RAM,File Size
Total War: WARHAMMER II,Action / Strategy / Turn-based,"Strategy gaming perfected. A breath-taking campaign of exploration, expansion and conquest across a fantasy world. Turn-based civilisation management and real-time epic strategy battles with thousands of troops and monsters at your command.",Intel Core 2 Duo E8400,ATI Radeon HD 5770,5 GB,60 GB
Gorilla Tag,Action / Casual / Free to Play,"Run, jump, and climb using only your hands. Play tag or infection with people online. Run away from the infected players, or outmaneuver the survivors to catch them. Embrace your inner ape.",Intel Core i5-4590,Unknown,4 GB,140 MB
Pacific Drive,Action / Racing / Indie,"Face the supernatural dangers of the Olympic Exclusion Zone with a car as your only lifeline in this driving survival adventure! Scavenge resources, load up your trusty station wagon, and drive like hell to make it through alive.",Intel Core i5-8600,NVIDIA GeForce GTX 1060,16 GB,18 GB
Farming Simulator 19,Unknown,"The best-selling franchise takes a giant leap forward with a complete overhaul of the graphics engine, offering the most striking and immersive visuals and effects, along with the deepest and most complete farming experience ever.",Intel Core i3-2100T,AMD Radeon HD 7770,4 GB,20 GB
One-armed robber,Action / Strategy / Indie,"One-armed robber is a chaotic first-person heist game that centers around a uniquely challenging premise. Players take the role of a determined robber equipped with only one arm, tasked with pulling off daring heists on banks, shops, and various establishments.",Intel Core i5-4590,NVIDIA GeForce GTX 760,4 GB,1 GB
Suikoden I&II HD Remaster Gate Rune and Dunan Unification Wars,Unknown,A hero's destiny is written in the Stars. The legendary KONAMI JRPGs Suikoden I and Suikoden II have now been remastered in HD!,Intel Core i5-4440,NVIDIA GeForce GTX 1050,8 GB,16 GB
Sleeping Dogs: Definitive Edition,Action / Racing / Adventure,"The Definitive Edition of the critically acclaimed, award winning open-world action adventure, reworked, rebuilt and re-mastered for the new generation. With all previously available DLC included and a wealth of tech and visual improvements, Hong Kong has never felt so alive.",Intel Core 2 Duo E4600,NVIDIA GeForce 8800 GT,4 GB,20 GB
FINAL FANTASY XIII,RPG / FPS / JRPG,Final Fantasy XIII is a fantasy RPG in which a band of brave humans struggle against fate in the utopian sky city of Cocoon and the primeval world of Pulse. Follow stylish heroine Lightning's fast paced battles and high adventure in a mysterious new world.,Intel Core 2 Duo Q6867,ATI FireMV 2400 PCIe,1 GB,60 GB
Contraband Police,Action / Indie / Adventure,"Take over the duties of a border guard inspector in a communist country of the 80's. Smuggling, corruption and forgery are the order of the day here. Be vigilant and earn the respect of your superiors.",Intel Core i5-6600,Unknown,12 GB,12 GB
Jurassic World Evolution,Action / Strategy / Casual,"Place yourself at the heart of the Jurassic franchise and build your own Jurassic World. Bioengineer dinosaurs that think, feel and react intelligently to the world around them and face threats posed by espionage, breakouts and devastating tropical storms in an uncertain world where life always finds a way.",Intel Core i5-2300,NVIDIA GeForce GTX 1050,8 GB,8 GB
Ancestors: The Humankind Odyssey,Action / RPG / Indie,"Survive your evolution in Neogene Africa starting 10 million years ago. Ancestors: The Humankind Odyssey is a third-person open world survival game where you Explore, Expand, and Evolve to advance your clan to the next generation in the exciting new adventure from Panache Digital Games.",Intel Core i5-2500K,NVIDIA GeForce GTX 760,8 GB,Unknown
Ryse: Son of Rome,Action / FPS,"“Ryse: Son of Rome” tells the story of Marius Titus, a young Roman soldier who witnesses the murder of his family at the hands of barbarian bandits, then travels with the Roman army to Britannia to seek revenge.",Intel Core i5 750S,AMD Radeon HD 5450,4 GB,26 GB
Lost Records: Bloom & Rage,Indie / Adventure,"Embark on a new narrative journey by the creators of Life is Strange. Film your summer of 1995 and create memories of a lifetime with your new friends. 27 years later, confront the dark secrets that made you all promise to never speak again after that fateful summer.",Intel Core i7-2700K,Unknown,8 GB,48 GB
The Evil Within 2,Action / Adventure / FPS,"Detective Sebastian Castellanos has lost everything, including his daughter, Lily. To save her, he must descend into the nightmarish world of STEM. Horrifying threats emerge from every corner, and he must rely on his wits to survive. For his one chance at redemption, the only way out is in.",Intel Core i5-2400,NVIDIA GeForce GTX 660,8 GB,40 GB
F1® 2019,Racing / Sports / Simulation,"F1® 2019, the official videogame, challenges you to defeat your rivals in the most ambitious F1® game in Codemasters’ history. F1® 2019 features all the official teams, drivers and all 21 circuits from the season. This year sees the inclusion of F2™ with players able to compete in the 2018 season.",Intel Core i3-2130,NVIDIA GeForce GTX 750,8 GB,80 GB
Demon Slayer -Kimetsu no Yaiba- The Hinokami Chronicles,Action / Adventure,Become the Blade that Destroys Demons!,Intel Core i5-2400,Unknown,6 GB,25 GB
Prototype 2,Action / Adventure / FPS,Become the ultimate shape-shifting weapon!,Intel Core 2 Duo Q6867,ATI Radeon HD 4850,2 GB,10 GB
Minecraft Legends,Action / Strategy,"Discover the mysteries of Minecraft Legends, a new action strategy game. Explore a gentle land of rich resources and lush biomes on the brink of destruction. The ravaging piglins have arrived, and it’s up to you to inspire your allies and lead them in strategic battles to save the Overworld!",Intel Core i5-650,Intel HD 520,8 GB,24 GB
Dragon Age: Origins,RPG / FPS,"When history tells the story of the Fifth Blight, what will be said about the hero who turned the tide against the darkspawn? Determine your legacy and fight for Thedas as a noble dwarf, an elf far from home, a mage apprentice, or a customized hero of your own design.",Intel Pentium 4 1.60GHz,AMD Radeon X1550,1 GB,20 GB
DragonNest,Action / RPG / Casual,"""Dragon Nest"" is a free-to-play 3D action-adventure game operated by Shengqu Games. With its unique control scheme, stunning game visuals, fast-paced combo combat, and intense PVP experiences, ""Dragon Nest"" has become a highly popular action-adventure game.",Intel Core i3-530,Unknown,8 GB,15 GB
Stream Games,Casual / Indie,Stream Games is a set of mini games that Twitch Streamers can play with their viewers' interaction,Intel Core 2 Duo Q6867,Unknown,512 MB,30 MB
Football Life Simulator,Sports / Indie / Simulation,"Live the life of a professional footballer both on and off the field. Train, play matches, manage your social life, climb the career ladder, and spend your earned money. Decorate your life with luxury while managing your relationships and finances.",Intel Core i5-7500,Unknown,8 GB,5 GB
The Crew,Action / Racing / MMO,"The Crew is a revolutionary action-driving MMO, developed exclusively for next-gen consoles and high-end PCs that leverage new hardware capabilities to connect players online like never before. The Crew takes you and your friends on a wild ride across a massive, open-world recreation of the United States that is loaded with exciting...",Intel Core 2 Quad Q9300,ATI Radeon HD 5870,4 GB,30 GB
Metalstorm,Action / Simulation / Early Access,"Welcome to Metalstorm, the ultimate team-based multiplayer air combat experience! A truly free-to-play game. Engage in live 5v5 air combat with friends against real players around the world. Collect and upgrade the world’s most advanced and legendary jets.",Intel Pentium G4560,Intel HD 4000,6 GB,3 GB
Chivalry 2,Action / Violent,"Chivalry 2 is a multiplayer first person slasher inspired by epic medieval movie battles. Players are thrust into the action of every iconic moment of the era - from clashing swords, to storms of flaming arrows, to sprawling castle sieges and more.",Intel Core i3-4370,NVIDIA GeForce GTX 660,8 GB,35 GB
Wild Life,Action / RPG / Indie,"Wild Life is an open-world Adult RPG, where players set out on a journey through a mysterious world filled with dangers and seductive attractions. Join Maya and Max as they navigate through intimate encounters with diverse characters and uncover the mystery behind Kerpal and Maya's unique secret!",AMD Ryzen 5 2600,NVIDIA GeForce GTX 1060,8 GB,25 GB
Minecraft Dungeons,Unknown,"Fight your way through an all-new action-adventure game, inspired by classic dungeon crawlers and set in the Minecraft universe! Up to four friends can play together, or you can brave the dungeons alone. Battle new-and-nasty mobs across action-packed, treasure-stuffed, wildly varied levels, all in an epic quest to defeat the evil Arch-Illager!",Intel Core i5-2500K,NVIDIA GeForce GTX 660,8 GB,3 GB
Star Trek Fleet Command,Unknown,"Build and customize a powerful fleet, recruit iconic characters, explore strange new worlds, seek out new life and new civilizations, forge alliances with hundreds of thousands of other players.",Intel Core i3-3217U,NVIDIA GeForce GTX 485M,2 GB,1 GB
Clash of Clans,Unknown,"Join millions of players worldwide as you build your village, raise a clan, and compete in epic Clan Wars! Mustachioed Barbarians, fire wielding Wizards, and other unique troops are waiting for you! Enter the world of Clash!",Intel Core i7-2600,Intel UHD 630,8 GB,10 GB
Xenia,Action / Indie,"A Metroidvania in Ancient Greece. Take control of the blacksmith Ardas. Fight epic bosses, find secret rooms and treasures, spend your gold for upgrades, and choose your fate through alternative endings. All this for one purpose. To save queen Xenia.",Intel Pentium 4 2.00GHz,Unknown,256 MB,310 MB
Crimson Desert,Action / RPG / Adventure,"Step back into the breathtaking world of Crimson Desert and join the lone mercenary as he navigates both the stunning beauty and cutthroat dangers of Pywel, the war-torn continent where history will be written in blood.",Intel Core i7-6700K,AMD Radeon RX 590,8 GB,45 GB
Europa Universalis IV,Strategy / Simulation,"Rule your land and dominate the world with unparalleled freedom, depth and historical accuracy. Write a new history of the world and build an empire for the ages.",Intel Pentium 4 2.40GHz,ATI Radeon X1900,2 GB,2 GB
Albion Online,RPG / MMO / Free to Play,"Albion Online is a fantasy sandbox MMORPG featuring a player-driven economy, classless combat system, and intense PvP battles. Explore a vast open world full of danger and opportunity. Grow your wealth, forge alliances, and leave your mark on the world of Albion.",Intel Pentium 4 2.00GHz,NVIDIA GeForce 7100 / nForce 630i,4 GB,2 GB
Deadside,Action / Indie / Adventure,"An Open World Survival Shooter blending hardcore PVP and PVE action. Secure precious loot in safe zones or build your own fortress in the wild. With intense gunfights, stunning visuals, and performance smooth enough for any system, the challenge awaits!",Intel Core 2 Duo E8400,NVIDIA GeForce GT 1030,4 GB,25 GB
Dave the Diver,Action / RPG / Casual,"DAVE THE DIVER is a casual, singleplayer adventure RPG featuring deep-sea exploration and fishing during the day and sushi restaurant management at night. Join Dave and his quirky friends as they seek to uncover the secrets of the mysterious Blue Hole.",Intel Core i3-2120,NVIDIA GeForce GTS 450  / Radeon HD 5570,8 GB,10 GB
Totally Accurate Battle Simulator,Strategy / Indie / Simulation,"Be the leader of wobblers from ancient lands, spooky places, and fantasy worlds. Watch them fight in simulations made with the wobbliest physics system ever created, make your own wobblers in the unit creator and send your army off to fight your friends in multiplayer.",Intel Core i5-2400,NVIDIA GeForce GTX 670,8 GB,3 GB
Total War: ROME REMASTERED,Unknown,"Total War: ROME REMASTERED lets you relive the legacy that defined the award-winning strategy game series. Remastered to 4K with multiple improvements to visuals as well as refinements to gameplay, it’s time to revisit a true classic. Not everyone gets a second chance to conquer the Roman Empire.",Intel Core i3-2340UE,Unknown,6 GB,45 GB
Lost Light,Action / MMO / Free to Play,"Join the ""Firefly"" task force and unveil the sinister plot behind the exclusion zone in the world of Lost Light. You could either scavenge for supplies or go out with guns blazing and plunder. Survive the brutal domain where danger lurks in every corner!",Intel Core i3-530,AMD Radeon Pro 450,4 GB,10 GB
